"List of International Organisations for which a simplified reporting of AnaCredit counterparty reference data applies, unless otherwise decided by the relevant NCB",,,,,
"Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html",,,,,
"Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx",,,,,
"Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html",,,,,
#,International organisation,Head office / Location,Comment,Counterparty identifier (unless otherwise decided by the NCB),International Organisation Code
166,International Finance Facility for Immunisation [IFFIm],London,,N$0ECBM01022,7L
167,International Fund for Agricultural Development [IFAD],Rome,,N$0ECBM01030,1L
168,International Grains Council  [IGC],London,,N$0ECBM01048,5Z15
169,International Lead and Zinc Study Group  [ILZSG],Lisbon,,N$0ECBM01055,5Z17
170,International Maritime Organization  [IMO],London,,N$0ECBM01063,5Z18
171,International Maritime Satellite Organization  [INMARSAT],London,,N$0ECBM01071,5Z19
172,International Olive Oil Council  [IOOC],Madrid,,N$0ECBM01089,5Z20
173,International Rubber Study Group  [IRSG],London,,N$0ECBM01097,5Z21
174,International Sugar Organization  [ISO],London,,N$0ECBM01105,5Z22
175,International Union of Credit and Investment Insurers [Berne Union],London,,N$0ECBM01113,7F
176,Neighbourhood Investment Facility  [NIF],Rome,"Based on the Cotonou Agreement and the Overseas Association Decision, prior to their submission for the EIB Board of Directors’ approval.",N$0ECBM01121,4I
177,Nordic Investment Bank [NIB],Helsinki,,N$0ECBM01139,5H
178,North Atlantic Treaty Organisation  [NATO],Brussels,NATO an intergovernmental military alliance between several North American and European countries based on the North Atlantic Treaty of April 1949.,N$0ECBM01147,6B
179,OPEC Fund for International Development [OFID],Vienna,OFID is an intergovernmental development finance institution established in 1976 by the Member States of the Organization of the Petroleum Exporting Countries (OPEC).,N$0ECBM01154,6A8
180,Organisation for Economic Co-operation and Development  [OECD],Paris,The OECD Convention was signed in December 1960  as successor of the OEEC.,N$0ECBM01162,6O
181,Organization of the Petroleum Exporting Countries  [OPEC],Vienna,,N$0ECBM01170,5Z31
182,Paris Club Creditor Institutions  [Paris Club],Paris,,N$0ECBM01188,7D
183,"United Nations Educational, Scientific and Cultural Organization  [UNESCO]",Paris,,N$0ECBM01196,1H
184,World Tourism Organization [UNWTO],Madrid,,N$0ECBM01204,5Z42
185,The Permanent Court of Arbitration [PCA],The Hague,"Established by treaty in 1899, is an intergovernmental organization providing a variety of dispute resolution services to the international community",N$0ECBM01212,6A9
186,European Free Trade Association Court [EFTA COURT],Luxembourg,,N$ECBM02097,
187,NATO Support and Procurement Organisation [NSPO],Capellen,,N$ECBM02105,
188,The Eastern and Southern African Trade and Development Bank [TDB],Bujumbura,,N$ECBM846154,7O
189,International Council for the Exploration of the Sea [ICES],Koebenhavn V,,N$ECBM846162,
190,United Nations Relief and Works Agency for Palestine [UNRWA],Amman,,N$ECBM846170,1Q
191,Asian Infrastructure Investment Bank [AIIB],Beijing,,N$ECBM846204,5X
192,United Nations High Commissioner for Refugees [UNHCR],Geneva,,N$ECBM846394,1P
193,United Nations Economic Commission for Europe [UNECE],Geneva,,N$ECBM894782,1U1
194,International Telecommunications Satellite Organisation [ITSO],"Washington, D.C.",,N$ECBM894790,6J
195,"The Global Fund to Fight AIDS, Tuberculosis and Malaria [GLOBAL FUND]",Geneva,,N$ECBM922971,
196,United Nations Framework Convention for Climate Change [UNFCCC],Bonn,,N$ECBM922997,
197,International Energy Agency [IEA],Paris,,N$ECBM923003,
